event_time,read_time,diff
1723174527796410,1723174527796436,26
1723174527797408,1723174527797428,20
1723174527797408,1723174527797429,21
1723174527797408,1723174527797429,21
1723174527798404,1723174527798423,19
1723174527798404,1723174527798423,19
1723174527798404,1723174527798423,19
1723174527799405,1723174527799423,18
1723174527799405,1723174527799423,18
1723174527799405,1723174527799423,18
1723174527800404,1723174527800422,18
1723174527800404,1723174527800423,19
1723174527801414,1723174527801436,22
1723174527801414,1723174527801437,23
1723174527801414,1723174527801437,23
1723174527802401,1723174527802420,19
1723174527802401,1723174527802421,20
1723174527802401,1723174527802421,20
1723174527803407,1723174527803426,19
1723174527803407,1723174527803426,19
1723174527803407,1723174527803427,20
1723174527804404,1723174527804422,18
1723174527804404,1723174527804423,19
1723174527804404,1723174527804423,19
1723174527805410,1723174527805432,22
1723174527805410,1723174527805433,23
1723174527805410,1723174527805433,23
1723174527806410,1723174527806432,22
1723174527806410,1723174527806433,23
1723174527806410,1723174527806433,23
1723174527807421,1723174527807452,31
1723174527807421,1723174527807454,33
1723174527807421,1723174527807454,33
1723174527808406,1723174527808425,19
1723174527808406,1723174527808426,20
1723174527808406,1723174527808426,20
1723174527809410,1723174527809432,22
1723174527809410,1723174527809433,23
1723174527809410,1723174527809433,23
1723174527810408,1723174527810429,21
1723174527810408,1723174527810430,22
1723174527810408,1723174527810430,22
1723174527811417,1723174527811442,25
1723174527811417,1723174527811443,26
1723174527811417,1723174527811443,26
1723174527812406,1723174527812427,21
1723174527812406,1723174527812428,22
1723174527812406,1723174527812428,22
1723174527813405,1723174527813424,19
1723174527813405,1723174527813424,19
1723174527813405,1723174527813425,20
1723174527814409,1723174527814431,22
1723174527814409,1723174527814431,22
1723174527814409,1723174527814432,23
1723174527815410,1723174527815432,22
1723174527815410,1723174527815433,23
1723174527815410,1723174527815433,23
1723174527816412,1723174527816433,21
1723174527816412,1723174527816434,22
1723174527816412,1723174527816435,23
1723174527817404,1723174527817423,19
1723174527817404,1723174527817423,19
1723174527817404,1723174527817423,19
1723174527818431,1723174527818462,31
1723174527818431,1723174527818462,31
1723174527818431,1723174527818463,32
1723174527819406,1723174527819426,20
1723174527819406,1723174527819426,20
1723174527819406,1723174527819426,20
1723174527820409,1723174527820431,22
1723174527820409,1723174527820432,23
1723174527820409,1723174527820432,23
1723174527821404,1723174527821422,18
1723174527821404,1723174527821422,18
1723174527821404,1723174527821423,19
1723174527822411,1723174527822434,23
1723174527822411,1723174527822434,23
1723174527822411,1723174527822434,23
1723174527823412,1723174527823435,23
1723174527823412,1723174527823435,23
1723174527823412,1723174527823435,23
1723174527824405,1723174527824423,18
1723174527824405,1723174527824424,19
1723174527825411,1723174527825433,22
1723174527825411,1723174527825434,23
1723174527825411,1723174527825434,23
1723174527826426,1723174527826453,27
1723174527826426,1723174527826454,28
1723174527827412,1723174527827434,22
1723174527827412,1723174527827434,22
1723174527827412,1723174527827435,23
1723174527828411,1723174527828433,22
1723174527828411,1723174527828434,23
1723174527829409,1723174527829428,19
1723174527829409,1723174527829429,20
1723174527830410,1723174527830433,23
1723174527830410,1723174527830433,23
1723174527830410,1723174527830434,24
1723174527831411,1723174527831434,23
1723174527831411,1723174527831434,23
1723174527832411,1723174527832433,22
1723174527832411,1723174527832433,22
1723174527833412,1723174527833433,21
1723174527833412,1723174527833434,22
1723174527834405,1723174527834424,19
1723174527834405,1723174527834424,19
1723174527835412,1723174527835435,23
1723174527835412,1723174527835436,24
1723174527835412,1723174527835436,24
1723174527836411,1723174527836433,22
1723174527836411,1723174527836434,23
1723174527837411,1723174527837434,23
1723174527837411,1723174527837435,24
1723174527838410,1723174527838433,23
1723174527838410,1723174527838433,23
1723174527838410,1723174527838433,23
1723174527839415,1723174527839440,25
1723174527839415,1723174527839441,26
1723174527840402,1723174527840420,18
1723174527840402,1723174527840421,19
1723174527840402,1723174527840421,19
1723174527841410,1723174527841433,23
1723174527841410,1723174527841434,24
1723174527841410,1723174527841434,24
1723174527843163,1723174527843191,28
1723174527843163,1723174527843191,28
1723174527844422,1723174527844448,26
