event_time,read_time,diff
1723174595631435,1723174595631502,67
1723174595631435,1723174595631502,67
1723174595631435,1723174595631503,68
1723174595632412,1723174595632463,51
1723174595632412,1723174595632464,52
1723174595632412,1723174595632464,52
1723174595633416,1723174595633466,50
1723174595633416,1723174595633466,50
1723174595633416,1723174595633467,51
1723174595634433,1723174595634483,50
1723174595634433,1723174595634483,50
1723174595634433,1723174595634484,51
1723174595635421,1723174595635469,48
1723174595635421,1723174595635469,48
1723174595635421,1723174595635470,49
1723174595636422,1723174595636472,50
1723174595636422,1723174595636472,50
1723174595636422,1723174595636473,51
1723174595637413,1723174595637462,49
1723174595637413,1723174595637463,50
1723174595637413,1723174595637463,50
1723174595638425,1723174595638473,48
1723174595638425,1723174595638473,48
1723174595639437,1723174595639485,48
1723174595639437,1723174595639485,48
1723174595640426,1723174595640476,50
1723174595640426,1723174595640476,50
1723174595641417,1723174595641465,48
1723174595641417,1723174595641465,48
1723174595642417,1723174595642471,54
1723174595642417,1723174595642471,54
1723174595643419,1723174595643472,53
1723174595643419,1723174595643473,54
1723174595643419,1723174595643473,54
1723174595644417,1723174595644486,69
1723174595644417,1723174595644487,70
1723174595644417,1723174595644487,70
1723174595645419,1723174595645469,50
1723174595645419,1723174595645470,51
1723174595645419,1723174595645470,51
1723174595646428,1723174595646480,52
1723174595646428,1723174595646481,53
1723174595646428,1723174595646481,53
1723174595647418,1723174595647480,62
1723174595647418,1723174595647481,63
1723174595647418,1723174595647481,63
1723174595648415,1723174595648471,56
1723174595648415,1723174595648472,57
1723174595648415,1723174595648472,57
1723174595649415,1723174595649464,49
1723174595649415,1723174595649465,50
1723174595649415,1723174595649465,50
1723174595650416,1723174595650469,53
1723174595650416,1723174595650470,54
1723174595650416,1723174595650470,54
1723174595651417,1723174595651465,48
1723174595651417,1723174595651466,49
1723174595651417,1723174595651466,49
1723174595652420,1723174595652470,50
1723174595652420,1723174595652470,50
1723174595652420,1723174595652471,51
1723174595653421,1723174595653471,50
1723174595653421,1723174595653471,50
1723174595653421,1723174595653471,50
1723174595654416,1723174595654465,49
1723174595654416,1723174595654465,49
1723174595654416,1723174595654466,50
1723174595655416,1723174595655465,49
1723174595655416,1723174595655465,49
1723174595655416,1723174595655465,49
1723174595656425,1723174595656474,49
1723174595656425,1723174595656474,49
1723174595656425,1723174595656474,49
1723174595657419,1723174595657467,48
